Title,Article,Rating
10 things you need to know before the opening bell,"Here is what you need to know. An attempted military coup failed in Turkey . An attempted coup attempt made by a faction of Turkey's military failed on Friday. According to the AP, President Recep Tayyip Erdogan announced he is in control of the country and said those responsible "" will pay a heavy price for their treason."" The Turkish lira is stronger by 1.8% at 2.9609 per dollar after tumbling more than 5% as news of the attempted coup crossed the wires late Friday. Silver is getting smoked . Precious metals are under pressure following Friday's failed military coup in Turkey. Silver has slumped back below the $20 per ounce level, trading down 1.7% at $19.82 per ounce. Meanwhile gold is little changed at $1325 per ounce. Bookmakers say another Scottish referendum will happen before 2020 . Over the weekend, Nicola Sturgeon, the First Minister of Scotland, told the BBC that another Scottish referendum to leave the UK could happen as soon as next year. Ladbrokes has set the odds of a referendum happening by the end of 2020 at 4 to 7 and the odds of one not happening by then at 5 to 4. 62% of Scots voted for the UK to remain in the European Union in the June Brexit vote. Bank of America beats . The bank earned $0.36 per share, topping the $0.33 that Wall Street was anticipating. Revenue came in at $20.6 billion, ahead of the $20.4 billion that analysts were looking for. FICC trading revenue was reported at $2.6 billion, which was better than the $2.34 billion that was expected. ""We had another solid quarter in a challenging environment,"" CEO Brian Moynihan said in a statement. ""We continued to invest in core growth areas and to manage expenses, which were down 3 percent year over year to a level not seen since 2008."" ExxonMobil is getting into a bidding war . The oil giant bid at least $2.2 billion for Papa New Guinea-focused InterOil Corp, according to Reuters. The offer equates to $45 worth of its own shares for each InterOil share, plus a $0.90 per million cubic feet equivalent for the resources at Elk-Antelope gas field. This compares to an offer from Oil Search of 8.05 of its own shares for every InterOil share, plus $0.77 per mcfe of the Elk-Antelope gas field. Oil Search's offer amounts to about $42.66 per InterOil share. Softbank is scooping up ARM . Japanese telecom giant Softbank has agreed to buy British chipmaker ARM Holdings for 24.3 billion ($32 billion). The deal, which represents a 43% premium to Friday's closing price, will pay ARM shareholders 17 per share. The deal is believed to be the largest acquisition ever of a European tech company. One of Yahoo's most important businesses is slowing . Yahoo's Mavens business, which CEO Marissa Meyer has touted as the company's new growth engine, saw revenue growth slow to 7% year-over-year last quarter. That was down from the 58% growth experienced the year before, and the 26% growth seen in the fourth quarter of 2015. Mavens will be under the microscope when Yahoo reports after Monday's closing bell. The company is expected to earn an adjusted $0.09 per share on revenue of $839.65 million. Stock markets around the world are mixed. Japan's Nikkei (+0.7%) led in Asia as China's Shanghai Composite (-0.4%) lagged. In Europe, Spain's IBEX (-0.4%) trails the pack. S&P 500 futures are higher by 3.75 points at 2156.50. Earnings reporting picks up. Bank of America and Hasbro will report ahead of the opening bell while EMC, IBM, Netflix, VMWare, and Yahoo will release their quarterly results after markets close. US economic data is light. The NAHB Housing Market Index and TIC flows will be released at 10 a.m. ET and 4 p.m. ET, respectively. The US 10-year yield is up one basis point at 1.57%.   NOW WATCH: The 'Zulu Cobra' helicopter is one of the Marines' most powerful weapons      if (typeof RunFunctions === 'undefined') { var RunFunctions = []; } RunFunctions.push(function() { var ooyalapopvideo = OO.Player.create('ooyalaplayer_popvideo', '0zb3dnMTE6-QawCIxD9EmsObwInmKKBb',{ autoplay: 'false' }); });  Please enable Javascript to watch this video   (function() { function createPlayer() { OO.ready(function() { RunFunctions.forEach(function(ooyalaFunction) { ooyalaFunction(); }); RunFunctions = [];}); } createPlayer(); }()); ",
The Bengal Famine: How the British engineered the worst genocide in human history for profit,"The British had a ruthless economic agenda when it came to operating in India and that did not include empathy for native citizens. Under the British Raj, India suffered countless famines. But the worst hit was Bengal. The first of these was in 1770, followed by severe ones in 1783, 1866, 1873, 1892, 1897 and lastly 1943-44. Previously, when famines had hit the country, indigenous rulers were quick with useful responses to avert major disasters. After the advent of the British, most of the famines were a consequence of monsoonal delays along with the exploitation of the countrys natural resources by the British for their own financial gain. Yet they did little to acknowledge the havoc these actions wrought. If anything, they were irritated at the inconveniences in taxing the famines brought about. The first of these famines was in 1770 and was ghastly brutal. The first signs indicating the coming of such a huge famine manifested in 1769 and the famine itself went on till 1773. It killed approximately 10 million people, millions more than the Jews incarcerated during the Second World War. It wiped out one third the population of Bengal. John Fiske, in his book The Unseen World, wrote that the famine of 1770 in Bengal was far deadlier than the Black Plague that terrorized Europe in the fourteenth century. Under the Mughal rule, peasants were required to pay a tribute of 10-15 per cent of their cash harvest. This ensured a comfortable treasury for the rulers and a wide net of safety for the peasants in case the weather did not hold for future harvests. In 1765 the Treaty of Allahabad was signed and East India Company took over the task of collecting the tributes from the then Mughal emperor Shah Alam II. Overnight the tributes, the British insisted on calling them tributes and not taxes for reasons of suppressing rebellion, increased to 50 percent. The peasants were not even aware that the money had changed hands. They paid, still believing that it went to the Emperor. Partial failure of crop was quite a regular occurrence in the Indian peasants life. That is why the surplus stock, which remained after paying the tributes, was so important to their livelihood. But with the increased taxation, this surplus deteriorated rapidly. When partial failure of crops came in 1768, this safety net was no longer in place. The rains of 1769 were dismal and herein the first signs of the terrible draught began to appear. The famine occurred mainly in the modern states of West Bengal and Bihar but also hit Orissa, Jharkhand and Bangladesh. Bengal was, of course, the worst hit. Among the worst affected areas were Birbum and Murshidabad in Bengal. Thousands depopulated the area in hopes of finding sustenance elsewhere, only to die of starvation later on. Those who stayed on perished nonetheless. Huge acres of farmland were abandoned. Wilderness started to thrive here, resulting in deep and inhabitable jungle areas. Tirhut, Champaran and Bettiah in Bihar were similarly affected in Bihar. Prior to this, whenever the possibility of a famine had emerged, the Indian rulers would waive their taxes and see compensatory measures, such as irrigation, instituted to provide as much relief as possible to the stricken farmers. The colonial rulers continued to ignore any warnings that came their way regarding the famine, although starvation had set in from early 1770. Then the deaths started in 1771. That year, the company raised the land tax to 60 per cent in order to recompense themselves for the lost lives of so many peasants. Fewer peasants resulted in less crops that in turn meant less revenue. Hence the ones who did not yet succumb to the famine had to pay double the tax so as to ensure that the British treasury did not suffer any losses during this travesty. After taking over from the Mughal rulers, the British had issued widespread orders for cash crops to be cultivated. These were intended to be exported. Thus farmers who were used to growing paddy and vegetables were now being forced to cultivate indigo, poppy and other such items that yielded a high market value for them but could be of no relief to a population starved of food. There was no backup of edible crops in case of a famine. The natural causes that had contributed to the draught were commonplace. It was the single minded motive for profit that wrought about the devastating consequences. No relief measure was provided for those affected. Rather, as mentioned above, taxation was increased to make up for any shortfall in revenue. What is more ironic is that the East India Company generated a profited higher in 1771 than they did in 1768.  Although the starved populace of Bengal did not know it yet, this was just the first of the umpteen famines, caused solely by the motive for profit, that was to slash across the country side. Although all these massacres were deadly in their own right, the deadliest one to occur after 1771 was in 1943 when three million people died and others resorted to eating grass and human flesh in order to survive. Winston Churchill, the hallowed British War prime minister who saved Europe from a monster like Hitler was disturbingly callous about the roaring famine that was swallowing Bengals population. He casually diverted the supplies of medical aid and food that was being dispatched to the starving victims to the already well supplied soldiers of Europe. When entreated upon he said, Famine or no famine, Indians will breed like rabbits. The Delhi Government sent a telegram painting to him a picture of the horrible devastation and the number of people who had died. His only response was, Then why hasnt Gandhi died yet?""       This Independence Day it is worthwhile to remember that the riches of the west were built on the graves of the East. While we honour the brave freedom fighters (as we should), it is victims like these, the ones sacrificed without a moments thought, who paid the ultimate price. Shed a tear in their memory and strive to make the most of this hard won independence that we take for granted today. Pledge to stand up those whose voice the world refuses to hear because they are too lowly to matter. To be free is a great privilege. But as a great superhero once said, With great freedom comes great responsibility.",
Volvo is quietly becoming a tech superpower,"Volvo When you think of high-tech cars, you probably think Tesla or BMW. But there's another automaker that is quietly becoming one of the industry's most tech-centric brands: Volvo. For years, the Swedish car company has been at the forefront of introducing the latest safety tech into its vehicles. But the car company's tech savviness extends beyond just its safety systems. Volvo is also investing in technology that will make its cars more convenient, efficient, and autonomous. Here's a closer look at how Volvo is quietly becoming one of the leading car companies in auto tech.",
Ten interesting things we read this week,"t Ambit we spend a lot of time reading articles that are not directly        relevant to Indian stocks. However, since the Indian economy is now        umbilically linked to its global counterparts, the articles that we   come      across have relevance for Indian stocks and the Indian   economy. In     that  context, this report contains the ten most   interesting pieces   that   we  read this week. Here are the ten most interesting pieces that we read this week, ended July 29, 2016. 1) How can India bridge the gap between its middle and median class [Source: LiveMint ] Does the proverbial middle class in India refer to the median population between the rich and poor or is it more of a socio-political construct? According to the existing research and statistics, the latter is more likely to be the case. The 2011-12 data from India Human Development Survey (IHDS) indicates that Indias middle class was less than 6 percent of its total population. Astonishingly however, 49 percent of the respondents identified themselves as middle class. The article also captures how at an all-India level, the median household in 2011-12 owned only one of the five assetsa motor vehicle, a TV, a computer or laptop, a cooler or AC and a refrigerator. Further against the common notion, the median class is still engaged relatively more in manual work, rather than in the so-called white-collar jobs. 2) How solo star fund managers stack up against the team players [Source: Financial Times ] To avoid the exit of investors en masse as a star fund manager leaves a fund house, funds are now being structured to avoid the emergence of star managers, with most mutual funds run by two or more individuals. However, according to a recent research due to be published in CFA Financial Analysts Journal, placing a team in charge of a fund is not necessarily good for investors. As per the research, funds with a single manager significantly outperform those run by teams on averageby up to 1.3 per cent a year. Also, funds run by a single manager have a higher expense ratio than funds with two or more managers. But even these higher costs were not enough to offset the additional returns single-manager funds offered. 3) Why Unilever really bought Dollar Shave club [Source: Bloomberg ] According to this piece, the key to Dollar Shave Clubs appeal is not so much its online prowess but the fact that it built a powerful brand in four years. Dollar Shave Club upended the industrys traditional business model by offering a subscription service that sells blades for as little as $3 a month (including shipping and handling). The company learns about its audience and curates messages specifically meant to keep them engaged. The blending of a cheap and convenient product with entertaining content helped the company snatch customers away from traditional razor sellers. As per the article, while Unilever and P&G are masters at traditional marketing, they struggle with the direct-to-consumer brand-building at which upstarts like Dollar Shave Club excel. 4) A few useful mental tools from Richard Feynman [Source: farnamstreetblog ] This article lists seven tricks of trade highlighted by renowned physicist Richard Feynman in his series of lectures in 1963, which were later memorialised in a short book called The Meaning of it All: Thoughts of a Citizen Scientist. These tricks show Feynman taking the method of thought he learnt in pure science and applying it to the more mundane topics most of us have to deal with every day. 5) Missiles will be quicker to make as 3D printing blasts off [Source: Financial Times ] 3D printing is making rapid inroads into the missile manufacturing business. In March, the US Navy tested a Lockheed Martin-manufactured missile with a 3D printed component and next year MBDA, the European missile-maker, will use a printed part in its Sea Ceptor missile system. According to the article, the component which flew on the D5 missilea cover to protect cable connectors was designed and manufactured in half the normal time. Going forward, additive layer manufacturing, as 3D printing is known, could make enhancements more feasiblefor example reducing weight to make room for other systems or to deliver greater range. Also, the ability to print metals and combine alloys in different ways opens up new design possibilities. 6) Elon Musks Master Plan - Part Deux [Source: Tesla ] Elon Musk, the co-founder and CEO of Tesla Motors, unveiled his second master plan recently. After the success of his first master plan written 10 years ago, this plan revolves around addressing the need for sustainable energy. Some of the salient features include creation of a smoothly integrated and beautiful solar-roof-with-battery product, expanding the electrical fleet from consumer cars to heavy-duty trucks and high passenger-density urban transport, and allowing for your vehicles to be used in a sharing economy wherein these cars can be used to generate income for you (much like Uber) while you're at work or on vacation, significantly offsetting and at times potentially exceeding the monthly loan or lease cost. 7) The chronic spin that blights Chinas economy [Source: Financial Times ] As per this article, a wholesale breakdown in the reliability of financial information in China is exacerbating the misallocation of capital that lies at the root of the countrys waning economic efficiency and burgeoning levels of corporate debt. Right from media reports that are unreliable considering the journalists can be bought out to credit agencies that have awarded investment grade status to 99.5 per cent of all public debt outstanding, there is a dearth of sources which can help the lenders weed out value destroying firms. 8) Indias search for policy economists [Source: LiveMint ] The appointment of Harvard University economist, Gita Gopinath, as an adviser to Kerala chief minister, Pinarayi Vijayan, has led to the usual political drama. Leftist ideologues have angrily asked how a communist chief minister could seek the advice of a neoliberal economist. This article brings forward three issues highlighted by the current series of events: 1) India needs a new generation of policy economists to replace an older generation whose greatest achievement was the first generation of economic reforms 2) It is important that quality advisors are appointed in the state government rather than center, given the lack of quality policy thinkers is an especially acute problem in the state capitals 3) India needs to create a new policy ecosystem that encourages the best economic talent to stay behind in Indian universities, think tanks and research institutes so that we dont have to rely on foreign talent. 9) Can we stop ageing and live forever! [Source: LiveMint ] Immortality as a concept is no stranger to human beings. Called nectar in English, or amrita in Sanskrit, even a sip of this elusive elixir is supposed to make humans immortal. This article describes the case of Elizabeth Parrish, chief executive of a Seattle-based biotech company BioViva USA Inc, who claims to have become the first human being to be successfully rejuvenated by gene therapy. Parrishs BioViva isnt the only one chasing the elusive elixir of life. A number of big technology companies and some of their founders, too, are investing in anti-ageing research: Google co-founder Sergey Brin, Paul Allen, co-founder of Microsoft Corp, PayPal co-founder Peter Thiel and S Kris Gopalakrishnan, one of the founders of Infosys. 10) How India's changing kitchens have 'modernised' food habits [Source: BBC ] Referencing Ruchiraa Marathi cookbookthis article showcases how food habits in India have changed on the back of changing kitchen designs in India. Right from using melamine dishes instead of metal utensils to buying readymade, salty yellow Amul butter to spread on toast for breakfast, Indians are adopting modern food habits. The article also talks about how refrigerator had brought in a major change in the way food was consumed in India and how modern gadgets were allowing for even the most traditional households to explore eating food outside the Maharashtrian Brahmin repertoire. - Saurabh Mukherjea is CEO (Institutional Equities) and Prashant Mittal is Analyst (Strategy and Derivatives), Ambit Capital Pvt Ltd. Views expressed are personal.",
"TheStreet.com: Marketing Manager, NYC","TheStreet.com, a leading multimedia provider of financial commentary, analysis, research and news, is seeking a Marketing Manager for our Consumer Markets division.  This individual will be responsible for planning and executing acquisition and retention marketing and online advertising programs for our financial products geared towards the consumer market segment.",
"New Line Cinema: Director, Interactive Marketing, LA","The Director, Interactive Marketing, is responsible for developing and placing non-paid promotional and editorial content in support of New Lines theatrical releases, in order to ensure the broadest possible exposure within a films target audience.",
Six Apart finds a pot full of VC Dollars,"EXCLUSIVE : Our friends at Six Apart are about to get another big round of venture funding. It is their series B round of funding, and the lead investor in this round is said to be August Capital. Augusts capital wont be much of a surprise for the two entities have old linkages. For instance, former August Capital partner Andrew Anker is now an Executive Vice President of Corporate Development. The amount of money raised is still under a shroud, though I am told it could be well over $5 million, a modest investment when compared to Silicon Valleys free spending ways of the past. ( Press release says $10 million ) Many of my better sources in Silicon Valley say that there was a good chance of Sequoia Capital participating in the round, but obviously that did not pan out. I have sources telling me David Hornik of August Capital spearheading the investment, and is likely to join the board of the company. The Trotts obviously are not talking, and neither is rest of the senior management. I had tried getting in touch with Hornik but he would not say. Anyway I am pretty certain of the news. Six Apart had received an undisclosed amount of money from Joi Itos VC fund, Neoteny . Reid Hoffman, a member of the founding team and former executive officer of PayPal is also an investor. The company has been on a tear and recently signed a deal with Nokia where Nokia camera phones (ugly as they might be) play nice with TypePad, SixAparts hosted service.",
Fox Mobile/Jamba CEO Lucy Hood Resigns; European Focus Going Forward,"Fox Mobile/Jamba (part of News Corp. (NYSE: NWS)) CEO Lucy Hood has resigned this morning, we have learned through sources, and now confirmed by PR. Jamba COO Lee Fenton will be the interim CEO until they find a new replacement. Updated : the company has now issued an official release , after stonewalling us for the last three hours on queries. The release says she wants to do more entrepreneurial ventures, but there has to be more than that: earlier this year she was appointed the CEO of the Jamster venture, in which News Corp. holds joint stake with Verisign. She has been with News Corp. for more than a decade, helped launch Fox Mobile Entertainment in 2005, and then this JV with Verisign. More in extended entry Staci adds : Yes, there is more to it although even this may not be all of it. According to one source familiar with the situation, the company is still very bullish on mobile but theres a sense now that the operation probably needs to be run from Europe rather than LA. Most of the staff is based in Berlin and the business/opportunity is more Europe (and Asia) for now than in the U.S.. Hood traveled a great deal but was still based in the U.S. Fenton, who was hired as COO to lead worldwide operations, has the European know-how: he was director of consumer platforms for Vodafone (NYSE: VOD) prior to joining Jamba and before that was commercial director of Vivendi (EPA: VIV)-Vodafone JV Vizzavi. Hes held a variety of senior positions at other companies and could well be the top candidate to run Jamba on a permanent basis. This source stressed that Hood is respected as an executive but her departure is likely to fuel some critics who didnt see her as the right candidate to head the 600-plus employee JV, which was far bigger than Fox Mobile. Update : Some more details: Fenton is assuming Hoods responsibilities but technically wont be known as interim or acting CEO. I am told by another source in a position to know that he is a serious contender for the CEO job but there will be a search . Fenton was supposed to be LA-based when he was hired but that shifted. Its uncertain now whether he will be based in Europe or U.S. during this transition. The structure going forward has yet to be determined. As this source put it, there probably will be some fallout; I don",
"Citysearch: Product Manager, LA","Citysearch is a leading online local network enabling people to get the most out of their city. Citysearch is one of the core businesses operated by IAC/InterActiveCorp, along with sister companies Ticketmaster, Expedia and Match.com (NASDAQ: IACI). The Manager of Product is responsible for developing and managing one or more consumer-facing products of the Citysearch.com website to enhance the consumer value proposition of Citysearch and promote repeat usage.",
Mobile Apps Software Firm Golden Gecko Gets First Round Funding,"London-based mobile software development firm Golden Gecko has received an undisclosed amount of first round funding from Barcelona-based VC firm Active Capital Partners. The two year-old firm has created a mobile platform that can create Java applications for mobile advertising.its clients include Coca-Cola, Paramount, Uniliver and others. ( press release ).",
Daily Sprout,"GM Viability Plan Includes Smart-like Car: General Motors long-term viability plan, put together as part of its bailout plea to Congress, includes introducing a small four-passenger vehicle with better fuel economy than the Smart ForTwo.  Kicking Tires Banks and Insurers Launch Climate Principles, Redux: Credit Agricole, HSBC, Munich Re, Standard Chartered, and Swiss Re have agreed to a best-practices framework called The Climate Principles. In February, another group of financial institutions unveiled a plan by the same name addressing climate risks in financing electric power plants.  Environmental Leader Around the World in a Solar Car: The first solar-powered car to complete a trip around the world ended its 32,000-mile journey at the U.N. climate talks in Poznan, Poland today.  Associated Press Recession Takes Toll on Cleantech Startups: CEO Bruce Jamerson of the ethanol company Mascoma says all companies in the clean-tech sector should consider cutting costs to make sure cash lasts as long as possible.  CNET Chrysler Requests $7B for EV Production: Chrysler plans to ask Congress today for a $7 billion bridge loan to support production of more than 500,000 electric vehicles by 2013.  Green Car Congress",
"Yahoo: Director Product Management, Yahoo! Finance, Sunnyvale, CA","Yahoo! Finance, the worlds leading financial information destination seeks a dynamic, strategic product visionary and savvy business manager to join its team. This Director will be responsible for day to day operations of the existing products & services, end to end development of new product development of the Yahoo! Finance free & paid services and strategic planning.",
BSE: Top losers and gainers,"arkets closed lower after rising for last two trading sessions as investors engaged in profit booking in the recent gainers at attractive and higher valuations. Besides, investors are eyeing important events this week like July F&O expiry on Thursday, Goods and Services Tax bill in ongoing monsoon session of parliament and the Federal Open Market Committee starting on Tuesday.",
Chinese yuan strengthens,"   IANS | 03 Aug, 2016  The central parity rate of the Chinese currency renminbi (yuan) strengthened 256 basis points to 6.6195 against the US dollar on Wednesday, according to the China Foreign Exchange Trading System. In China's spot foreign exchange market, the yuan is allowed to rise or fall by two per cent from the central parity rate each trading day, Xinhua news agency reported. The central parity rate of the yuan against the US dollar is based on a weighted average of prices offered by market makers before the opening of the interbank market each business day. ",
7th Pay Commission is here! Central govt employees to receive pay hike from next month,"The long wait for implementation of 7th Pay Commission recommendation will soon come to an end. As per a report in , the new increased pay scale for all central government employees will be given from next month.Meanwhile, the group of secretaries headed by Cabinet Secretary PK Sinha is all set to meet on June 11 to give final shape to the changes on the 7th Pay Commission recommendation. The government in January set up a high-powered panel headed by Cabinet Secretary P K Sinha to process the recommendations of the 7th Pay Commission which will have bearing on the remuneration of 47 lakh central government employees and 52 lakh pensioners. The Empowered Committee of Secretaries will function as a Screening Committee to process the recommendations with regard to all relevant factors of the Commission in an expeditious detailed and holistic fashion. The government had earlier stated that implementation of new pay scales recommended by the 7th Pay Commission is estimated to put an additional burden of Rs 1.02 lakh crore, or 0.7 per cent of GDP, on the exchequer in 2016-17.",
Yahoo Buys 30 Percent Stake In Indian Phone Directory Service Ezee,"Yahoo (NSDQ: YHOO) has acquired a 30 percent stake in Indian telephone-directory search service Call Ezee, which is owned by Network Management Co., reports Reuters . Yahoos cash infusion will help the company expand its reach from covering 14 cities to up to 50, and grow its information database five-fold, to 10 million numbers. It also seeks to improve call volumes by up to 10 times by year-end 2009. Currently, Call Ezee is estimated to generate about 10,000 calls a day, according to San Francisco Business Times . The companys competition includes Google (NSDQ: GOOG), which has launched local search in India; JustDial; AskLaila, which is creating local search content and reviews about companies; and Guruji.com, which is funded by Sequoia Capital and is primarily Internet based and is becoming more of a general search engine for India.",
What you need to know on Wall Street right now,"Library of Congress Finance Insider is Business Insider's summary of the top stories of the past 24 hours. To sign up, scroll to the bottom of this page and click ""Get updates in your inbox,"" or click here . Wall Street has long been the center of the American financial universe. Home to the New York Stock Exchange, the New York Federal Reserve, and many important financial institutions, Lower Manhattan has historically held enormous sway over the financial industry. That, however, is changing. Wall Street is abandoning Wall Street because it's too expensive . Shares of private-prison providers plunged in trading on Thursday following news that the Department of Justice plans to end the use of such facilities. Walmart reported second-quarter results that topped expectations . Investors are losing patience with Citigroup . Hedge fund group Och-Ziff reportedly considered selling part of itself to PIMCO . Mick McGuire, the founder and CEO of Marcato Capital Management , released a harsh letter to James Damian, the chairman of Buffalo Wild Wing's board of directors, on Wednesday. He also published a brutal presentation . In related news, fried chicken sales  are down because of the oil crash . Howard Marks, the billionaire cofounder of Oaktree Capital Management, thinks Republican presidential nominee Donald Trump is delusional . He also used a weird reference to ' jumbo shrimp' to skewer America's politicians . Hedge funds have started bashing themselves - here's what they're saying . Finally, h ere's how much you'll get paid as a Wall Street banker . Here are the top Wall Street headlines at midday: Inside Goldman Sachs' program to develop a new generation of coders - ""Does anyone know where the cloud is?"" asks Wilfred Amuri, an engineer in the cloud platform team at Goldman Sachs. Wall Street is no longer New York City's biggest job engine - It has lost its throne to Silicon Alley. Oh look, another nasty problem for Valeant - T. Rowe Price is reportedly suing Valeant Pharmaceuticals, alleging fraud. This private investor document perfectly shows why people are sick and tired of hedge funds - Hedge funds have been getting throttled since the beginning of 2016, and because of that people are starting to ask questions about their worth. The job market just did something it hadn't done in 46 years - Initial jobless claims fell more than expected. Claims have now been below 300,000 for 76 straight weeks - the longest streak since 1970. 'The weather' is a good excuse only when it's not an excuse - CEOs, investors, and economists love to blame the weather. China got it right - Remember what happened a year ago? China shocked financial markets with a sudden devaluation of the renminbi, cutting it by 3% against the dollar over the course of five trading days. Volvo is quietly becoming a tech superpower - When you think of high-tech cars, you probably think Tesla or BMW. But there's another automaker that is quietly becoming one of the industry's most tech-centric brands. The 9 best cities to live in the world - The Economist Intelligence Unit just released a report that ranks the best and worst cities to live in the world .",
Top Jobs Of The Week In Digital Media,"If youre exploring new opportunities during the holiday break, here are some choice jobs in digital media:  *Time*, Inc. : Director, Sales Planning Style and Entertainment Group  Time Out New York : Online Product Development Director  *AOL*s Platform-A : Business Development Manager  Parade Publications : General Manager And if youre interested in joining the ContentNext team, were still accepting applications for financial reporters to cover the media and entertainment industries, and write about earnings and M&A and VC. More listings on our job board",
Wall Street opens little changed,"  Wall Street was little changed on Wednesday as declines in healthcare and consumer stocks were offset by gains in energy and financials. Biogen was the biggest drag on the S&P 500 and the Nasdaq after falling 4.4 percent to $315.60. Data showed the U.S. private sector added 179,000 jobs in July, beating estimates of 170,000. The ADP national employment report is seen as a precursor to the more comprehensive jobs data on Friday. If the labor market is able to build on its recent strength, it could make the case for the Federal Reserve to raise interest rates later this year. ""Over the last seven days, we've started to give back some of the gains we made post the UK referendum,"" said Art Hogan, chief market strategist at Wunderlich Equity Capital Markets in New York. ""It's not as if we are retracing that massive move, we are just drifting lower here and one of the key catalysts is oil prices. On balance, we've got a market that has more good news than bad news.""  At 9:45 a.m. ET the Dow Jones Industrial Average was up 7.66 points, or 0.04 percent, at 18,321.43. The S&P 500 was up 0.38 points, or 0.02 percent, at 2,157.41. The Nasdaq Composite was up 3.50 points, or 0.07 percent, at 5,141.23.  Six of the 10 major S&P 500 sectors were lower, with consumer staples index's 0.4 percent loss being the biggest. Energy and financials rose more than 0.5 percent. Investors are also parsing company earnings to gauge the health of the U.S. economy. Of the 353 S&P 500 companies that have reported earnings so far, 71 percent have beaten analysts' estimates, according to Thomson Reuters I/B/E/S. Kate Spade shares plunged 19 percent, after the handbag maker reported a lower-than-expected quarterly profit and slashed its full-year profit and sales forecasts.  Time Warner rose 2.3 percent after beating second-quarter profit estimate and disclosing a 10 percent stake in streaming TV service Hulu. Tesla and Twenty-First Century Fox are scheduled to report after the bell. Declining issues outnumbered advancing ones on the NYSE by 1,435 to 1,219. On the Nasdaq, 1,207 issues rose and 1,098 fell. The S&P 500 index showed 7 new 52-week highs and one new low, while the Nasdaq recorded 26 new highs and 21 new lows. (Reporting by Yashaswini Swamynathan in Bengaluru; Editing by Anil D'Silva)",
Bullet train projects: A $51 billion gold mine in making for MSMEs,"MUMBAI: The proposed Rs 98,000-crore along with the that seeks to build 6,000 km of high-speed rail network, can create a whopping USD 51 billion business opportunity for the MSME sector, says a report. If the government makes 30 per cent mandatory sourcing from Micro Small and Medium Enterprises for these projects, it can create a USD 51 billion window of opportunities for the sector, according to the report by domestic agency . A whopping USD 168 billion will be spent over the next 10 years, if the projects go as planned, it said, adding that they can change the face of in terms of technology absorption and innovation, apart from creating a large channel of funding opportunities for them. Collectively 28 per cent MSMEs in the special purpose machineries, fabricated metals and printing among other sectors will gain from these mega projects, provided the government makes it mandatory to source 30 per cent of inputs from them through an offset clause. If so, this can unleash nearly USD 51 billion for the sector. Citing the MSME ministry's assessment, the report said that such an offset clause will see over 24 per cent of the fabricated metal producers gaining, while for non-metallic producers (12.5 per cent), special purpose machinery makers (12.1 per cent), textile companies (8.9 per cent) and close to 8 per cent structural metal producers gaining. This will be achievable provided the projects involves manufacturing MSMEs in the project,which can create immense value for the sector in terms of aiding the gross capital formation (GCF), an important indicator of the extra value created over existing fixed assets, says the report, adding currently, the for the MSME segment is only USD 52 billion. These projects can help MSMEs gain an additional 3.7 per cent of their annual manufacturing GCF due to the cheap additional debt made available through the projects. In terms of fund needs, the bullet train network can potentially add 1.5 per cent to MSMEs' debt shortfall over the next 10 years, the report said, adding despite this there will still be an additional debt gap of USD 19 billion for them. While many analysts have questioned the viability of the Mumbai-Ahmedabad bullet train project, the report estimated that at USD 1,600 per capita income, the country is better placed than Japan which rolled out its first Shinkansen (bullet train) in 1964 between Tokyo and Osaka, when its per capita income was only USD 1,346. Japan has agreed to fund USD 12 billion to the project at 1 per cent interest for a 30-year tenor.",
